,Product_Code,Date,Order_Demand
964569,Product_0747,2016-07-01,10
903365,Product_0463,2016-07-01,100
967945,Product_0019,2016-07-01,500
1015348,Product_1351,2016-07-01,4000
956426,Product_1377,2016-07-01,50000
893758,Product_1248,2016-07-01,5000
873147,Product_0276,2016-07-01,100
990061,Product_1299,2016-07-01,1000
990062,Product_1388,2016-07-01,1000
1044689,Product_0402,2016-07-01,2
875257,Product_1360,2016-07-01,20000
873148,Product_0277,2016-07-01,60
875258,Product_1470,2016-07-01,2400
875249,Product_1374,2016-07-01,5000
982053,Product_2056,2016-07-01,5
982123,Product_1822,2016-07-01,3
979230,Product_0131,2016-07-01,20
876651,Product_0096,2016-07-01,2000
979220,Product_0365,2016-07-01,3
876652,Product_0099,2016-07-01,6000
1002519,Product_1392,2016-07-01,100
1002520,Product_1429,2016-07-01,100
1030728,Product_1788,2016-07-01,1000
966053,Product_1432,2016-07-01,100000
1044235,Product_1829,2016-07-01,2500
979231,Product_0349,2016-07-01,3
966077,Product_1432,2016-07-01,70000
874950,Product_0620,2016-07-01,1
876653,Product_0063,2016-07-01,50000
874955,Product_0608,2016-07-01,2
876654,Product_0082,2016-07-01,40000
874956,Product_0620,2016-07-01,6
876655,Product_0098,2016-07-01,50000
982093,Product_1772,2016-07-01,12
1011304,Product_1401,2016-07-01,800
947341,Product_1463,2016-07-01,2000
1031952,Product_0620,2016-07-01,2
904702,Product_0445,2016-07-01,4
875961,Product_1453,2016-07-01,5000
1001069,Product_1478,2016-07-01,100
877555,Product_1997,2016-07-01,2000
1044527,Product_2019,2016-07-01,100
1044526,Product_2010,2016-07-01,200
1013936,Product_1839,2016-07-01,2000
862385,Product_0558,2016-07-01,10000
1013935,Product_1790,2016-07-01,1000
904703,Product_0463,2016-07-01,5
1044525,Product_2005,2016-07-01,1000
1043169,Product_0979,2016-07-01,100
862384,Product_0557,2016-07-01,10000
1002082,Product_1032,2016-07-01,100
981208,Product_1825,2016-07-01,2500
1013934,Product_1785,2016-07-01,2500
1029596,Product_1300,2016-07-01,100
984266,Product_0203,2016-07-01,200
863120,Product_0095,2016-07-01,1000
1041750,Product_1636,2016-07-01,100
862163,Product_1008,2016-07-01,5000
944486,Product_1275,2016-07-01,100
1032723,Product_1359,2016-07-01,25000
1001020,Product_0930,2016-07-01,1000
920741,Product_1410,2016-07-01,5000
965467,Product_1350,2016-07-01,1000
920742,Product_1531,2016-07-01,100
878101,Product_1541,2016-07-01,300
891383,Product_1731,2016-07-01,500
1044528,Product_2023,2016-07-01,100
1001021,Product_0933,2016-07-01,5000
1042017,Product_1864,2016-07-01,1
920743,Product_1244,2016-07-01,1000
1001027,Product_1427,2016-07-01,600
860679,Product_0408,2016-07-01,750
860680,Product_0410,2016-07-01,20
1001028,Product_1403,2016-07-01,1000
1029727,Product_1242,2016-07-01,20000
876199,Product_0964,2016-07-01,100
1032722,Product_1262,2016-07-01,10000
877155,Product_1430,2016-07-01,10000
984322,Product_0349,2016-07-01,20
1043277,Product_0269,2016-07-01,1
1031682,Product_0260,2016-07-01,10
1042211,Product_1106,2016-07-01,100
863066,Product_0405,2016-07-01,6
964893,Product_2001,2016-07-01,1000
1014693,Product_0068,2016-07-01,500
864416,Product_1581,2016-07-01,10000
1014694,Product_0080,2016-07-01,500
1014695,Product_0087,2016-07-01,300
893347,Product_1248,2016-07-01,7000
1027344,Product_2020,2016-07-01,25
1001722,Product_1424,2016-07-01,200
1044139,Product_0643,2016-07-01,1
902749,Product_0491,2016-07-01,2
943694,Product_1382,2016-07-01,10000
902736,Product_1341,2016-07-01,13000
943693,Product_1294,2016-07-01,10000
872006,Product_1213,2016-07-01,200
891624,Product_1518,2016-07-01,300
891623,Product_1350,2016-07-01,3000
1001721,Product_1416,2016-07-01,200
984321,Product_0123,2016-07-01,100
967353,Product_0031,2016-07-01,1000
875737,Product_1570,2016-07-01,1500
1043276,Product_0265,2016-07-01,1
874074,Product_0942,2016-07-01,400
1043275,Product_0264,2016-07-01,1
904657,Product_0495,2016-07-01,15
904656,Product_0495,2016-07-01,10
1041130,Product_1017,2016-07-01,50
945949,Product_1458,2016-07-01,2000
1040891,Product_0950,2016-07-01,500
1013392,Product_1254,2016-07-01,200
873961,Product_1294,2016-07-01,5000
1013393,Product_1257,2016-07-01,200
890223,Product_1377,2016-07-01,5000
1027353,Product_2031,2016-07-01,1000
945948,Product_1286,2016-07-01,1000
953505,Product_0620,2016-07-01,10
967443,Product_1704,2016-07-01,2
1013400,Product_0642,2016-07-01,5
953507,Product_0631,2016-07-01,10
1013403,Product_1638,2016-07-01,50
862340,Product_0998,2016-07-01,20000
1043170,Product_0998,2016-07-01,100
1011807,Product_0172,2016-07-01,3
863147,Product_1641,2016-07-01,4000
863160,Product_1818,2016-07-01,5000
947335,Product_1401,2016-07-01,1000
947334,Product_0410,2016-07-01,10
947333,Product_0408,2016-07-01,1000
947332,Product_1463,2016-07-01,200
1011808,Product_0361,2016-07-01,1
895678,Product_0495,2016-07-01,82
1001004,Product_1023,2016-07-01,500
956758,Product_0664,2016-07-01,10
1032195,Product_0632,2016-07-01,1
947336,Product_1463,2016-07-01,1000
893746,Product_1359,2016-07-01,7000
1031498,Product_0249,2016-07-01,4
1032196,Product_0817,2016-07-01,5
953960,Product_0021,2016-07-01,2000
922126,Product_0943,2016-07-01,2000
1041945,Product_0954,2016-07-01,1
1011362,Product_1970,2016-07-01,3000
1041946,Product_1029,2016-07-01,100
892436,Product_1241,2016-07-01,1000
894557,Product_1286,2016-07-01,20000
984253,Product_0516,2016-07-01,2
946262,Product_1512,2016-07-01,1800
947337,Product_1464,2016-07-01,1000
947339,Product_1513,2016-07-01,1000
955231,Product_1639,2016-07-01,100
955230,Product_1355,2016-07-01,25000
955229,Product_1259,2016-07-01,200
955228,Product_1258,2016-07-01,200
893142,Product_1248,2016-07-01,33000
873852,Product_1766,2016-07-01,1000
1031014,Product_1659,2016-07-01,17
1031039,Product_1016,2016-07-01,100
921471,Product_0982,2016-07-01,100
947338,Product_1512,2016-07-01,1000
921470,Product_0989,2016-07-01,200
943980,Product_1359,2016-07-01,2000
893749,Product_1359,2016-07-01,8000
903857,Product_0439,2016-07-01,32
1032725,Product_1402,2016-07-01,100
955202,Product_1352,2016-07-01,4000
955201,Product_1309,2016-07-01,7000
955200,Product_1304,2016-07-01,2000
947342,Product_1512,2016-07-01,2000
947340,Product_1387,2016-07-01,2000
1013612,Product_0993,2016-07-01,100
1027366,Product_1580,2016-07-01,100
894558,Product_1294,2016-07-01,20000
953935,Product_0007,2016-07-01,100
876087,Product_0791,2016-07-01,15
1044184,Product_0619,2016-07-01,25
1044183,Product_0607,2016-07-01,25
878099,Product_1393,2016-07-01,7000
956601,Product_1264,2016-07-01,75000
890853,Product_1994,2016-07-01,200
1042429,Product_0608,2016-07-01,1
923177,Product_1287,2016-07-01,10000
1032724,Product_2014,2016-07-01,200
969090,Product_2148,2016-07-01,300
878100,Product_1541,2016-07-01,100
1011563,Product_1274,2016-07-01,6000
873442,Product_0943,2016-07-01,1000
873449,Product_1468,2016-07-01,2000
946072,Product_0658,2016-07-01,4
1001997,Product_1415,2016-07-01,300
873486,Product_1274,2016-07-01,5000
1014055,Product_0639,2016-07-01,10
1001996,Product_1389,2016-07-01,200
946255,Product_1463,2016-07-01,600
946256,Product_1512,2016-07-01,600
894559,Product_1377,2016-07-01,10000
922096,Product_1954,2016-07-01,8
894560,Product_1554,2016-07-01,20000
894561,Product_1287,2016-07-01,20000
1029839,Product_1683,2016-07-01,2
964766,Product_0618,2016-07-01,100
894562,Product_1295,2016-07-01,20000
863730,Product_1151,2016-07-01,50000
946261,Product_1463,2016-07-01,2400
946260,Product_1512,2016-07-01,300
946259,Product_1463,2016-07-01,300
946258,Product_1512,2016-07-01,500
923178,Product_1452,2016-07-01,5000
946257,Product_1463,2016-07-01,500
878097,Product_1281,2016-07-01,10000
1011341,Product_0957,2016-07-01,100
982641,Product_0150,2016-07-01,6
1029264,Product_1659,2016-07-01,2
886312,Product_2014,2016-07-01,1400
1045569,Product_0961,2016-07-01,100
970477,Product_1803,2016-07-01,10
1007833,Product_1788,2016-07-01,2000
975935,Product_1357,2016-07-01,1000
1045582,Product_1878,2016-07-01,100
1036550,Product_0126,2016-07-01,2000
1036544,Product_1994,2016-07-01,100
1022558,Product_1111,2016-07-01,2
858035,Product_0943,2016-07-01,10000
1007861,Product_0677,2016-07-01,20
1022573,Product_0230,2016-07-01,4
994048,Product_0190,2016-07-01,100
994049,Product_0201,2016-07-01,100
950873,Product_0016,2016-07-01,1000
1045558,Product_2013,2016-07-01,300
918080,Product_1208,2016-07-01,1
886467,Product_0051,2016-07-01,1000
857847,Product_1023,2016-07-01,2000
857848,Product_0183,2016-07-01,7
973220,Product_1231,2016-07-01,400
1025836,Product_0600,2016-07-01,50
1019085,Product_1477,2016-07-01,100
1019084,Product_1312,2016-07-01,100
995773,Product_1908,2016-07-01,10
960605,Product_1248,2016-07-01,20000
1019063,Product_1969,2016-07-01,1000
859755,Product_1502,2016-07-01,50000
1019036,Product_1659,2016-07-01,1
940836,Product_1135,2016-07-01,10000
857943,Product_0613,2016-07-01,40
909727,Product_1581,2016-07-01,20000
1019000,Product_1787,2016-07-01,2500
1036689,Product_1023,2016-07-01,100
1047265,Product_0025,2016-07-01,300
910996,Product_1969,2016-07-01,200
1047264,Product_0016,2016-07-01,300
910995,Product_1966,2016-07-01,200
1005242,Product_1802,2016-07-01,3
995502,Product_1560,2016-07-01,1500
1016767,Product_1227,2016-07-01,1000
1005288,Product_1834,2016-07-01,1
1047065,Product_0406,2016-07-01,100
886932,Product_0033,2016-07-01,500
919444,Product_1938,2016-07-01,5
919443,Product_0821,2016-07-01,40
1018444,Product_0989,2016-07-01,100
886981,Product_1241,2016-07-01,10000
1022884,Product_0546,2016-07-01,10
857846,Product_1017,2016-07-01,1000
858251,Product_2042,2016-07-01,50000
960769,Product_1356,2016-07-01,12000
1047431,Product_0361,2016-07-01,3
970581,Product_1469,2016-07-01,1000
866421,Product_0086,2016-07-01,20000
970582,Product_1470,2016-07-01,1000
960779,Product_0460,2016-07-01,4
960780,Product_0226,2016-07-01,200
960782,Product_0229,2016-07-01,32
960783,Product_0231,2016-07-01,48
1025771,Product_0929,2016-07-01,1000
886559,Product_1356,2016-07-01,100000
1047347,Product_1490,2016-07-01,600
1047346,Product_1401,2016-07-01,600
886644,Product_0620,2016-07-01,5
960781,Product_0227,2016-07-01,48
970421,Product_1451,2016-07-01,10000
970420,Product_1359,2016-07-01,10000
915769,Product_0720,2016-07-01,5
950587,Product_0181,2016-07-01,250
950588,Product_0185,2016-07-01,250
950589,Product_0188,2016-07-01,250
1034490,Product_1302,2016-07-01,400
896867,Product_0998,2016-07-01,8000
970241,Product_1765,2016-07-01,200
962607,Product_1378,2016-07-01,5000
1007000,Product_1294,2016-07-01,900
1007108,Product_1886,2016-07-01,100
950613,Product_0335,2016-07-01,40
950619,Product_0291,2016-07-01,128
950620,Product_0308,2016-07-01,50
1019346,Product_1098,2016-07-01,22
958994,Product_1453,2016-07-01,10000
908344,Product_0622,2016-07-01,44
973463,Product_0700,2016-07-01,25
885949,Product_0981,2016-07-01,150
883282,Product_1163,2016-07-01,100000
996027,Product_0620,2016-07-01,11
996026,Product_0620,2016-07-01,10
879186,Product_1966,2016-07-01,900
1009507,Product_1266,2016-07-01,3000
885843,Product_1198,2016-07-01,1000
1019518,Product_1826,2016-07-01,500
1036984,Product_1648,2016-07-01,1000
885928,Product_0357,2016-07-01,2000
960281,Product_1427,2016-07-01,400
960283,Product_1278,2016-07-01,2000
1000068,Product_0586,2016-07-01,36
1045191,Product_1889,2016-07-01,100
885948,Product_0971,2016-07-01,75
942769,Product_1242,2016-07-01,1000
976413,Product_0189,2016-07-01,50
973462,Product_0744,2016-07-01,25
1007370,Product_1023,2016-07-01,300
915766,Product_0793,2016-07-01,5
871010,Product_1248,2016-07-01,10000
1022052,Product_0675,2016-07-01,1
857701,Product_1360,2016-07-01,8000
1045354,Product_1866,2016-07-01,2
1047710,Product_2010,2016-07-01,100
915765,Product_0792,2016-07-01,5
970382,Product_0014,2016-07-01,1000
915767,Product_0794,2016-07-01,5
915768,Product_0795,2016-07-01,5
857736,Product_1879,2016-07-01,400
866663,Product_0631,2016-07-01,5
1038621,Product_0250,2016-07-01,8
1016526,Product_0334,2016-07-01,1
1005685,Product_1554,2016-07-01,2000
960401,Product_1875,2016-07-01,1
915764,Product_0719,2016-07-01,5
1021958,Product_0333,2016-07-01,19
1021924,Product_0316,2016-07-01,100
1021925,Product_0317,2016-07-01,100
1021940,Product_0298,2016-07-01,132
868775,Product_1450,2016-07-01,50000
868777,Product_1484,2016-07-01,4000
970292,Product_1451,2016-07-01,90000
942597,Product_0620,2016-07-01,3
915757,Product_0713,2016-07-01,50
915759,Product_0803,2016-07-01,3
915760,Product_0805,2016-07-01,4
1021947,Product_0140,2016-07-01,88
915761,Product_0805,2016-07-01,1
915762,Product_0715,2016-07-01,5
915763,Product_0718,2016-07-01,5
960425,Product_1869,2016-07-01,1
915758,Product_0790,2016-07-01,50
976443,Product_0979,2016-07-01,100
1007943,Product_0174,2016-07-01,100
960914,Product_1719,2016-07-01,274
940356,Product_1540,2016-07-01,200
898013,Product_1726,2016-07-01,36
940248,Product_0504,2016-07-01,1
940247,Product_0504,2016-07-01,3
880296,Product_1453,2016-07-01,1000
940246,Product_0313,2016-07-01,8
1024378,Product_1839,2016-07-01,1000
1046577,Product_0755,2016-07-01,25
971640,Product_1116,2016-07-01,10
971638,Product_1112,2016-07-01,5
1035225,Product_1815,2016-07-01,5
1024428,Product_2039,2016-07-01,2
870179,Product_0012,2016-07-01,1000
971604,Product_1154,2016-07-01,4000
865588,Product_0089,2016-07-01,1000
971639,Product_1115,2016-07-01,100
1024159,Product_1554,2016-07-01,300
948012,Product_2039,2016-07-01,1
962026,Product_1295,2016-07-01,10000
940358,Product_1458,2016-07-01,500
961345,Product_0016,2016-07-01,500
940362,Product_1458,2016-07-01,1500
940361,Product_1262,2016-07-01,1500
940360,Product_1508,2016-07-01,500
962023,Product_1286,2016-07-01,10000
977055,Product_1656,2016-07-01,40
977035,Product_1464,2016-07-01,1300
1024158,Product_0639,2016-07-01,1
859176,Product_1350,2016-07-01,20000
859175,Product_0084,2016-07-01,60000
948393,Product_1459,2016-07-01,1000
948392,Product_1456,2016-07-01,500
948391,Product_1508,2016-07-01,1000
971543,Product_1145,2016-07-01,50
971542,Product_0986,2016-07-01,1500
971541,Product_0981,2016-07-01,5000
971540,Product_0976,2016-07-01,5000
948394,Product_1492,2016-07-01,500
1008565,Product_1854,2016-07-01,2
961665,Product_1295,2016-07-01,30000
859095,Product_1359,2016-07-01,50000
939744,Product_1992,2016-07-01,2000
961663,Product_1530,2016-07-01,25
1017600,Product_2012,2016-07-01,100
865587,Product_0083,2016-07-01,1000
948395,Product_1315,2016-07-01,500
887803,Product_1312,2016-07-01,1000
1039643,Product_2027,2016-07-01,200
1035740,Product_0822,2016-07-01,2
1035739,Product_0821,2016-07-01,2
939902,Product_1016,2016-07-01,2000
1008753,Product_1025,2016-07-01,1
1035676,Product_0139,2016-07-01,20
1004621,Product_0748,2016-07-01,1
1004620,Product_0621,2016-07-01,1
870022,Product_1430,2016-07-01,200
870021,Product_1262,2016-07-01,200
985929,Product_0200,2016-07-01,5
1035684,Product_0273,2016-07-01,20
883324,Product_1526,2016-07-01,20000
865660,Product_0981,2016-07-01,500
888070,Product_1248,2016-07-01,1000
887257,Product_1464,2016-07-01,1500
1005008,Product_1011,2016-07-01,100
970795,Product_1460,2016-07-01,25000
970796,Product_1533,2016-07-01,8000
1023192,Product_0286,2016-07-01,10
1023193,Product_0160,2016-07-01,1
887256,Product_1368,2016-07-01,3000
995127,Product_1470,2016-07-01,2000
897302,Product_1180,2016-07-01,18
1005001,Product_1135,2016-07-01,2000
1004999,Product_1134,2016-07-01,200
1045914,Product_1643,2016-07-01,400
1008035,Product_1781,2016-07-01,1
1039924,Product_1465,2016-07-01,1000
881450,Product_1550,2016-07-01,200
1025459,Product_1456,2016-07-01,1000
881774,Product_0936,2016-07-01,15000
960930,Product_2066,2016-07-01,132
941940,Product_1369,2016-07-01,5000
960931,Product_2066,2016-07-01,538
951311,Product_0074,2016-07-01,20000
951314,Product_1382,2016-07-01,15000
1039926,Product_1294,2016-07-01,500
869143,Product_1520,2016-07-01,1000
986435,Product_0471,2016-07-01,1
1018141,Product_1429,2016-07-01,200
972340,Product_0479,2016-07-01,200
1039927,Product_1294,2016-07-01,3000
882039,Product_0031,2016-07-01,500
881882,Product_0620,2016-07-01,8
1016902,Product_1796,2016-07-01,200
865661,Product_0986,2016-07-01,500
1023586,Product_0606,2016-07-01,25
1025287,Product_1882,2016-07-01,5
865364,Product_1359,2016-07-01,35000
880048,Product_0979,2016-07-01,14000
880049,Product_0984,2016-07-01,22000
865821,Product_1359,2016-07-01,5000
976902,Product_0937,2016-07-01,2000
957913,Product_1240,2016-07-01,300
962030,Product_1382,2016-07-01,5000
865786,Product_0033,2016-07-01,1000
976921,Product_0454,2016-07-01,8
976922,Product_0471,2016-07-01,2
976923,Product_0505,2016-07-01,2
999455,Product_0353,2016-07-01,35
999454,Product_0158,2016-07-01,50
1024001,Product_1181,2016-07-01,1
1008262,Product_0651,2016-07-01,4
897318,Product_0353,2016-07-01,11
879989,Product_1513,2016-07-01,5000
939564,Product_1493,2016-07-01,1000
939568,Product_1023,2016-07-01,5000
881115,Product_1378,2016-07-01,500
1008184,Product_1987,2016-07-01,500
994865,Product_1445,2016-07-01,1000
994864,Product_1441,2016-07-01,1000
952180,Product_1554,2016-07-01,400
994863,Product_1402,2016-07-01,300
910396,Product_1355,2016-07-01,30000
1035031,Product_0295,2016-07-01,2
898128,Product_0936,2016-07-01,2500
879185,Product_1966,2016-07-01,600
939696,Product_1570,2016-07-01,180000
953022,Product_2110,2016-07-01,20
969570,Product_0111,2016-07-01,120
864928,Product_0556,2016-07-01,20000
1048111,Product_0275,2016-07-01,10
1037503,Product_0734,2016-07-01,180
941579,Product_0613,2016-07-01,10
885321,Product_1274,2016-07-01,10000
867624,Product_1286,2016-07-01,5000
1048417,Product_1626,2016-07-01,500
909340,Product_0751,2016-07-01,5
969569,Product_0586,2016-07-01,120
1037504,Product_0734,2016-07-01,55
878978,Product_1228,2016-07-01,1000
969568,Product_0110,2016-07-01,240
1037505,Product_0734,2016-07-01,165
909334,Product_1859,2016-07-01,1
884814,Product_1841,2016-07-01,10000
952984,Product_2095,2016-07-01,200
978554,Product_1368,2016-07-01,1100
941074,Product_0355,2016-07-01,4000
867614,Product_1216,2016-07-01,1000
974999,Product_1048,2016-07-01,60000
950345,Product_0294,2016-07-01,26
1020646,Product_1882,2016-07-01,2
969571,Product_0583,2016-07-01,120
867898,Product_0829,2016-07-01,50000
938840,Product_1215,2016-07-01,34000
950366,Product_0301,2016-07-01,40
1000233,Product_1349,2016-07-01,4000
953052,Product_0333,2016-07-01,1
969905,Product_0583,2016-07-01,540
969904,Product_0110,2016-07-01,540
969558,Product_0596,2016-07-01,120
941100,Product_1430,2016-07-01,3000
941351,Product_1369,2016-07-01,10000
1027027,Product_0765,2016-07-01,4
943285,Product_1430,2016-07-01,1800
943284,Product_1375,2016-07-01,10000
871505,Product_1294,2016-07-01,1000
884265,Product_1495,2016-07-01,3000
941099,Product_1262,2016-07-01,2000
884770,Product_0107,2016-07-01,4000
1009764,Product_1278,2016-07-01,5000
884119,Product_1284,2016-07-01,1000
1037506,Product_0768,2016-07-01,400
867498,Product_1213,2016-07-01,2000
878729,Product_1165,2016-07-01,20000
899987,Product_0250,2016-07-01,200
905875,Product_1825,2016-07-01,10000
938660,Product_0373,2016-07-01,100
969555,Product_0118,2016-07-01,120
938661,Product_0375,2016-07-01,50
1006253,Product_0307,2016-07-01,10
883884,Product_1430,2016-07-01,100
963034,Product_1762,2016-07-01,8
963033,Product_1750,2016-07-01,8
860465,Product_1290,2016-07-01,50000
857044,Product_1372,2016-07-01,900
867385,Product_1981,2016-07-01,100
969560,Product_0582,2016-07-01,360
1020408,Product_1689,2016-07-01,1
1020407,Product_0288,2016-07-01,30
883869,Product_1458,2016-07-01,400
878855,Product_2017,2016-07-01,1000
952983,Product_2089,2016-07-01,2000
952982,Product_2082,2016-07-01,1000
867705,Product_1378,2016-07-01,1000
867706,Product_1382,2016-07-01,1000
1004100,Product_1469,2016-07-01,200
884899,Product_1916,2016-07-01,2
953061,Product_0346,2016-07-01,1
884898,Product_1917,2016-07-01,12
860293,Product_1999,2016-07-01,1000
1006439,Product_1391,2016-07-01,200
885314,Product_1637,2016-07-01,3000
885313,Product_1451,2016-07-01,15000
969562,Product_0588,2016-07-01,240
883864,Product_1244,2016-07-01,2500
885024,Product_1158,2016-07-01,2000
883868,Product_1377,2016-07-01,1400
885312,Product_1195,2016-07-01,3000
984766,Product_0225,2016-07-01,48
911696,Product_1555,2016-07-01,2000
905779,Product_0495,2016-07-01,30
959919,Product_1453,2016-07-01,30000
1038183,Product_0675,2016-07-01,2
917433,Product_1262,2016-07-01,300
987959,Product_1539,2016-07-01,550
960080,Product_0761,2016-07-01,25
867068,Product_1359,2016-07-01,300000
908768,Product_0206,2016-07-01,200
950003,Product_1803,2016-07-01,2
883430,Product_1208,2016-07-01,10
885637,Product_1435,2016-07-01,10000
917434,Product_1401,2016-07-01,100
953033,Product_2167,2016-07-01,15
941101,Product_1469,2016-07-01,5000
917435,Product_1381,2016-07-01,15000
860463,Product_1652,2016-07-01,5000
857083,Product_1150,2016-07-01,60000
953005,Product_1721,2016-07-01,3
953004,Product_1721,2016-07-01,60
941471,Product_1233,2016-07-01,4000
953014,Product_0457,2016-07-01,2
915036,Product_1453,2016-07-01,2000
987958,Product_1470,2016-07-01,1500
916599,Product_2010,2016-07-01,1000
953021,Product_2110,2016-07-01,16
953020,Product_2082,2016-07-01,24
953023,Product_2110,2016-07-01,30
953018,Product_0225,2016-07-01,556
953024,Product_2110,2016-07-01,654
953025,Product_2111,2016-07-01,150
953026,Product_2113,2016-07-01,40
953017,Product_0214,2016-07-01,24
949661,Product_1382,2016-07-01,20000
953027,Product_2113,2016-07-01,10
949978,Product_0613,2016-07-01,5
953029,Product_0846,2016-07-01,5
969373,Product_1970,2016-07-01,2000
987957,Product_0427,2016-07-01,1100
883371,Product_1359,2016-07-01,100000
953030,Product_1895,2016-07-01,26
953016,Product_0503,2016-07-01,2
953015,Product_0463,2016-07-01,6
953028,Product_0353,2016-07-01,21
953032,Product_2166,2016-07-01,4
969559,Product_0115,2016-07-01,360
949659,Product_1295,2016-07-01,2000
942853,Product_1156,2016-07-01,50000
906263,Product_1502,2016-07-01,100000
883993,Product_1430,2016-07-01,300
950405,Product_2167,2016-07-01,3
953047,Product_1125,2016-07-01,300
879159,Product_1378,2016-07-01,20000
899848,Product_0981,2016-07-01,18000
973842,Product_1470,2016-07-01,500
1015863,Product_1222,2016-07-01,2000
949658,Product_1456,2016-07-01,1500
974663,Product_0322,2016-07-01,3
1047991,Product_1194,2016-07-01,300
916598,Product_1991,2016-07-01,1000
945993,Product_1458,2016-07-04,3000
887259,Product_1359,2016-07-04,10000
887260,Product_1360,2016-07-04,10000
898316,Product_0200,2016-07-04,208
918480,Product_1295,2016-07-04,20000
967355,Product_1981,2016-07-04,100
898317,Product_0206,2016-07-04,258
918481,Product_1381,2016-07-04,10000
945992,Product_1463,2016-07-04,1000
898266,Product_2056,2016-07-04,10
887258,Product_1250,2016-07-04,20000
986180,Product_2095,2016-07-04,20
875056,Product_1581,2016-07-04,1000
980535,Product_1470,2016-07-04,1000
986178,Product_2072,2016-07-04,170
857055,Product_1824,2016-07-04,20000
1031708,Product_1374,2016-07-04,1000
898321,Product_1807,2016-07-04,1
1013978,Product_1195,2016-07-04,1000
976650,Product_1392,2016-07-04,2000
898315,Product_1724,2016-07-04,54
976598,Product_1495,2016-07-04,300
976649,Product_1314,2016-07-04,2000
1008061,Product_0408,2016-07-04,500
